,,Status Id,,Campus Pref,,,,Discpline Pref.,,,,Matriculation,,,,Intermediate,,,,,,NU Test Marks,,SAT I ,,SAT II,,,NU Merit Marks,,NTS Admission Offer,,NU Admission Offer,,Admission,,,,,,,,,,,,,,,,,,,,,,,,,
L,CITY,STATUS_ID,STATUS,Ist,2nd,3rd,4th,Ist,2nd,3rd,4th,Board,Degree,Total,Obtained,Board,Degree,Total,Obtained,NTS_MARKS,NU_TEST_CENTER,BBA,BS,Total,Obtained,Total,Obtained,NTS Merit Marks,BBA/BS(AF),BS,Campus,Discipline,Campus,Discipline,Campus,Discipline,DEGREE_STATUS,,,,,,,,,,,,,,,,,,,,,,,
1900003,Rawalpindi@htttp//,7,Challan/^ Printed,ISB,,,,BS(AF),,,,Cambridge,O-Level,1000,900,Federal,HSSC (I+II),1050,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900003,Rawalpindi@htttp//,7,Challan/^ Printed,ISB,,,,BS(AF),,,,Cambridge,O-Level,1000,900,Federal,HSSC (I+II),1050,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900005,<div>Okara<div>,2,AcademicInfo,,,,,,,,,Sahiwal,SSC,1100,1061,Sahiwal,HSSC-I,520,1061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900006,<p>Lahore<p>,1,<div>PersonalInfo</div>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900007,<br>Peshawar</br>,10,Admit Card Printed,PWR,,,,BS(EE),BS(CS),,,Federal,SSC,1050,802,Federal,HSSC (I+II),1100,802,,ISB,,30.291665,,,,,,,51.87,,,PWR,BS(EE),,,,,,,,,,,,,,,,,,,,,,,,,,
1900008,Islamabad,10,Admit Card Printed,ISB,,,,BS(CS),,,,Federal,SSC,1050,728,Federal,HSSC (I+II),1100,728,78,ISB,,47.187499,,,,,66.91,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900010,Hyderabad,7,Challan Printed,KHI,,,,BBA,,,,Hyderabad,SSC,850,561,Hyderabad,HSSC-I,550,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900011,Faisalabad,7,Challan Printed,CFD,,,,BS(CS),BS(SE),,,Faislabad,SSC,1100,957,Faislabad,HSSC-I,520,957,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900012,Nowshera,10,Admit Card Printed,ISB,,,,BS(AI),BS(CS),,,Cambridge,O-Level,900,709,,,,709,,ISB,,59.67361,,,,,,,65.29,,,ISB,BS(AI),ISB,BS(AI)    ,Cancelled,,,,,,,,,,,,,,,,,,,,,,,
1900012,Nowshera,10,Admit Card Printed,ISB,,,,BS(AI),BS(CS),,,Cambridge,O-Level,900,709,,,,709,,ISB,,59.67361,,,,,,,65.29,,,ISB,BS(AI),ISB,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900013,Lahore,10,Admit Card Printed,LHR,,,,BBA,BS(AF),BS(CS),,Lahore,SSC,1100,857,Federal,HSSC-I,510,857,,LHR,50.041671,46.034724,,,,,,62.47,60.47,,,LHR,BBA,,,,,,,,,,,,,,,,,,,,,,,,,,
1900014,Faisalabad,8,Fee Paid,ISB,,,,BS(CS),,,,Cambridge,O-Level,900,810,,,,810,,,,,2400,1290,800,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900015,Others,2,AcademicInfo,,,,,,,,,Sukkur,SSC,850,636,Mirpur Khas,HSSC-I,1100,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900016,Lahore,1,PersonalInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900017,Islamabad,2,AcademicInfo,,,,,,,,,Cambridge,O-Level,4,3.51,Cambridge,A-Level,4,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900018,Gujrat,5,Picture,ISB,,,,BS(CS),,,,Gujranwala,SSC,1100,792,Gujranwala,HSSC (I+II),1100,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900020,Multan,8,Fee Paid,ISB,,,,BS(CS),,,,Cambridge,O-Level,900,782,,,,782,84,,,,,,,,81.1,,,ISB,BS(CS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900022,Bhakkar,8,Fee Paid,ISB,,,,BS(CS),BS(AI),BS(EE),BS(AF),Rawalpindi,SSC,1100,964,Rawalpindi,HSSC-I,510,964,82,,,,,,,,82.37,,,ISB,BS(CS),,,ISB,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900024,Gujranwala,8,Fee Paid,LHR,,,,BS(CV),,,,Cambridge,O-Level,900,726,Cambridge,A-Level,1100,726,82,,,,,,,,79.18,,,LHR,BS(CV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900025,Dadu,8,Fee Paid,PWR,,,,BS(CS),,,,Agha Khan,SSC,1100,926,Agha Khan,HSSC-I,500,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900027,Karachi ,10,Admit Card Printed,KHI,,,,BS(CS),,,,Karachi,SSC,850,680,Karachi,HSSC-I,550,680,,KHI,,52.354163,,,,,,,60.81,,,KHI,BS(CS),KHI,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900028,Mianwali,2,AcademicInfo,,,,,,,,,Sargodha,SSC,1100,709,,,,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900029,Islamabad,8,Fee Paid,ISB,,,,BBA,,,,Cambridge,O-Level,900,642,,,,642,,,,,2400,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900030,Lahore,10,Admit Card Printed,LHR,,,,BS(CS),,,,Lahore,SSC,1100,882,Lahore,HSSC-I,510,882,0,LHR,,21.965274,,,,,,,50.39,,,,,PWR,BS(CS)    ,Current,,,,,,,,,,,,,,,,,,,,,,,
1900031,Islamabad,10,Admit Card Printed,ISB,,,,BBA,BS(AF),,,Cambridge,O-Level,900,686,,,,686,,ISB,47.416671,,,,,,,58.01,,,,ISB,BS(AF),,,,,,,,,,,,,,,,,,,,,,,,,,
1900032,Karachi ,10,Admit Card Printed,ISB,,,,BBA,,,,Others,O-Level,900,608,,,,608,0,ISB,41.25,,,,,,,51.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900033,Sialkot,10,Admit Card Printed,ISB,,,,BS(CS),,,,Gujranwala,SSC,1100,962,Gujranwala,HSSC-I,510,962,,ISB,,29.402778,,,,,,,54.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900034,Multan,7,Challan Printed,ISB,,,,BS(CS),BS(EE),,,Multan,SSC,1100,1021,,,,1021,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
